Name, Latitude, Longitude, Image
Amiens - Ancienne Chapelle, 49.898706,2.300418, http://lh6.ggpht.com/VcPJXc3tFrG_JUWez_PFfY4zWoTplMYhND3pr7lpmFgCe6ar2QihU77gxWcvv6SKokfkbCEOdUOKytFIi4Ho1A
Le Jardin des Plantes, Amiens, 49.901578,2.296407, http://lh3.ggpht.com/50u60PiBOXnLnh9gV6ew92Vi53OOLfE4JriU9jMGGqRaFwdHwe6V4Z6G3Pw2LRytfR_m_wFdHzy7VTxrmsmW
Mimi La Fourmi , 49.900521,2.29687, http://lh3.googleusercontent.com/WeDh7u6L_7NZrDcd3fkF5B4fkpe_ECfGNYcgqFPb_oVIUcQJTzoNty8GI0b9eYKAaviu1yFyo1GiSPxhMlo
Le papillon, 49.901469,2.297012, http://lh3.googleusercontent.com/sv76va7bMRRKCP7l9lULa9f2svBrmPDqrqAgO7thbNJS0c5jPvWToFXw30tHfW_GEMb79kNxSHV2xG7xDT41
Bâtiment Des Minimes - UPJV, Amiens, 49.898906,2.301569, http://lh3.ggpht.com/T9hewmA45hfr8_zZA2JexwgU9NSXAOJzm3iMUfI_EX_npiKrhdj-JTrsDkjg7pyQSe5c3D8LE3_e__kOX7av
Amiens - Les Demeures, 49.897472,2.301107, http://lh3.ggpht.com/2ZCsTukL-aSlokdIRMi3KLusu7K7jPHQQBNcw4EPJUXc6hfKsV0JmCLiWE6Ep4-iHgEMsXEQmLInrpfgEuN0
Ciné St Leu , 49.896603,2.301686, http://lh3.googleusercontent.com/mWTFild1C6RerpijwRzK2OYQ3rLeJNPWsQilBoNw5FUVMqyQpk0nWXpTgEZ6X0KvdsDr4jbi-T_8H_IjzoY
Fontaine dans une arche  Amiens, 49.897024,2.297288, http://lh3.ggpht.com/c9yQ2zpVRSaUV5lKzYHp5roZObsiQdJiNW4vbdQe859DiBSLvDeZtV2DdoL_N_a_3p9VuYH-MOqzZRKiL5Fu
Square De Darlington, 49.901008,2.29845, http://lh6.ggpht.com/aSv1r7s1ANRs2PVCcOTYSSNxdx1TXqmIFiMvipCZr0G_wAnj2_AhmFFvtm1b-2L1qSly67McFi1IopD5uWTD
Fontaine Du Jardin Des Plantes, Amiens, 49.900551,2.29647, http://lh4.ggpht.com/MgEAYKo3WLOFOdbGbHugmYK8OaRM7kaZqFCTjSeIqGE4stXEVrFk-eMvcSs0sSlgq4YET_1v7QcaDdaOTxFe
Hommage Aux Sapeurs Pompiers, 49.897766,2.29927, http://lh4.ggpht.com/wvgWUPt_r6nVoEyWGUERasYrLf2Lz4eHLw3_2B7RqLGJ1HPqL6yL2GGEl9DvDftxy_xX08g3m0Lldw1Xw8X6
Serre Napoleon III, 49.901032,2.296691, http://lh3.ggpht.com/O6m5yM6vC-WUwX3LwlrGDrmVJvE1vJJ7tqi_Hvs7B5OREUaS82wfHX_BBhaGwJFxnj4I7Z_7iunULva8DzgR
Place Vogel, 49.897613,2.295387, http://lh5.ggpht.com/7kYBvXVg-OHyWiTpPgO_do_PSMH9psPstT7LTMMzbxkAhq3qofMKUKZHTL_KAC7LWX8FeUmNIt77dQYTjU9RBg
Chat du Cheshire , 49.901677,2.296834, http://lh3.googleusercontent.com/jC6DTkwL1G2F6VLorP7FLVoHCOIKMIQHz4TDNmCiiBObVngCcwyNzNg-9wy_gKIjPozWyES1C9qB5QtG9EM
Serre Hollandaise, Jardin Des Plantes - Amiens, 49.901589,2.297428, http://lh4.ggpht.com/Bn5MPqKbWO6B7DvjlDC_h2x_UkLUy9FJ8CQFGee3EpPRMAiZbPh4U8d4A3bRkTJpBolrW5-3rK5inaA6zA2D
Pôle Scientifique Saint Leu, Amiens, 49.898548,2.29651, http://lh3.ggpht.com/VUsTzln6Jo4GYx_4lPA9xYEoCQbzpXTKOX0FIkO79XkedlyubJrFEqLorWoXRxjr70MfdquBObfzyscxduEe
Amiens - Totem Fac de Sciences, 49.898453,2.299609, http://lh6.ggpht.com/9HYCk87k_KbJe00b9bdU5Joc5Xuuf3t5In4qa1ny6fB8nqKpM7TmTgW5U2rKKjJRMO0zsj9YKzqegp1S-3JUzA
Peinture De Cheval, 49.896216,2.292669, http://lh5.ggpht.com/9lmUgaltNX0ukBiO-Wi6jstnVYlhv9bdKlz0KeH1b7aJr1Gg5U-e9RH82lz2nzpgmthVyPH53RPsqEVlwTU
Fresque Grand Canyon, 49.896347,2.293068, http://lh3.ggpht.com/YkDK5MNO6TNlAcGfW9LGjrJUXgZSfRvSb96I_e6BRzOtLEjFVcD9ub_jp3WQRxY7IwyA0oIfSKGIyeVoU-R_
Porte Historique, 49.897229,2.294028, http://lh3.ggpht.com/LZB4g24DYDnG6RMVHFv-mL3m4RVw82gyH9jY2xu0V6zsGNg80r9VrDHzWOwXB8E-q0V-Odoz4S4QEQrVMlM
Vieux Chateau D'eau, Amiens, 49.897966,2.293913, http://lh4.ggpht.com/oGrzATEk1CtRVhgY_ZSqN0NFrq1qZf5k-x3F53Te3_uwVkPs52RDqqzrRcsTVUzrpVJMbDTkeBOgX1S4pRS2VQ
Fresque du Centre Culturel Africain, 49.897545,2.286852, http://lh5.ggpht.com/EpnW43QqLSLCSu1E9HwnRdYGm3Dqi2khelk3KWocj67hKcIO064G_SQUlrvXrK5XfDcOJyoQEeCJU0k6xJE0
ESIEE Centre, 49.899534,2.291569, http://lh4.ggpht.com/Ym1xxRjMAWsR9NusJBqnlNGHBEM6Zp99Rfx5NS_U_FrA8FkbV9GvcZrNXqb58wr5XSWmeBuTvMtmS_kpa38
Square Des Soeurs Grises, Amiens, 49.896963,2.29439, http://lh6.ggpht.com/S33uAoIqLctnrNvC3zFW0kVoAyDXjxJoFaSLy_hFBNIt1tKzGAUHFWBINkrI35T2AcqBACW7NN8ecrYUkreBrw
La Sirène, 49.894329,2.292829, http://lh6.ggpht.com/Qpt74GT-KMFiARm6ybmOuyRImxwHhXr6ZzyzpXWLwL3Jkx5li0_nE902D2hnBsBWDec-zDkprI_Akq1gXI2HaQ
Nobleman's House, 49.892459,2.290162, http://lh3.ggpht.com/REF6ENbl0_QZaRt6ZlcNYtyj4qIxPfWJd5cIyyeFZ0gKm7mChSsF0ul2fv1vNR_8HzzlVwKOj88LGUEHMYor
Faculté des Arts, Amiens, 49.902078,2.294082, http://lh5.ggpht.com/2vcCWC0qjcVoLcbgwyLz_t_tLIbUwyuRanDorr2qRrAh1WZBwsElLNBBwTHP2NTulSfbbWOg8kRbZqXYzR8xgg
Monument Des Morts Au Feu, 49.897465,2.28578, http://lh5.ggpht.com/kw132E2xK0TgZAuRnISX-mZ_hALZzOZnjjO4qlq81sI8U2pasY3ea1pcweIENoWYhtZhd6_CgDo-TzHPhc5gAA
Sculpture, Amiens, 49.897975,2.289116, http://lh6.ggpht.com/bzJtxNeuNMd4Y4o9hoBWPFlMvr099cp80B6TIsuF8rDHYCXEWzHvIuyKoWfVvZfmXS0IyflKcV_FLOcUcBq3
 Comedia Del Arte, 49.896626,2.292186, http://lh3.ggpht.com/QFuQYR1VgEUFOkjFsuHQOE0ltOETs8MTDWOn94c0eimmRQxUB-Qq1FfriMXOw87If6muw5PfDVNFkQqCDXfd
